"Datum";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Schimmelstrasse";" Zürich Schimmelstrasse";" Zürich Schimmelstrasse";" Zürich Schimmelstrasse";" Zürich Schimmelstrasse";" Zürich Schimmelstrasse";" Zürich Schimmelstrasse";" Zürich Heubeeribüel";" Zürich Heubeeribüel";" Zürich Heubeeribüel";" Zürich Heubeeribüel";" Zürich Rosengartenstrasse";" Zürich Rosengartenstrasse";" Zürich Rosengartenstrasse";" Zürich Rosengartenstrasse";" Zürich Rosengartenstrasse"
;" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Schimmelstrasse";" Zch_Schimmelstrasse";" Zch_Schimmelstrasse";" Zch_Schimmelstrasse";" Zch_Schimmelstrasse";" Zch_Schimmelstrasse";" Zch_Schimmelstrasse";" Zch_Heubeeribüel";" Zch_Heubeeribüel";" Zch_Heubeeribüel";" Zch_Heubeeribüel";" Zch_Rosengartenstrasse";" Zch_Rosengartenstrasse";" Zch_Rosengartenstrasse";" Zch_Rosengartenstrasse";" Zch_Rosengartenstrasse"
;" Schwefeldioxid";" Kohlenmonoxid";" Ozon, höchstes Stundenmittel";" Ozon, Anzahl Stundenmittel > 120 µg/m3";" Stickstoffdioxid";" Stickstoffmonoxid";" Feinstaub PM10";" Lufttemperatur";" Luftfeuchte relativ";" Luftdruck";" Windgeschwindigkeit skalar";" Globalstrahlung";" Regendauer";" Schwefeldioxid";" Kohlenmonoxid";" Ozon, höchstes Stundenmittel";" Ozon, Anzahl Stundenmittel > 120 µg/m3";" Stickstoffdioxid";" Stickstoffmonoxid";" Feinstaub PM10";" Ozon, höchstes Stundenmittel";" Ozon, Anzahl Stundenmittel > 120 µg/m3";" Stickstoffdioxid";" Stickstoffmonoxid";" Ozon, höchstes Stundenmittel";" Ozon, Anzahl Stundenmittel > 120 µg/m3";" Stickstoffdioxid";" Stickstoffmonoxid";" Feinstaub PM10"
;" SO2";" CO";" O3_max_h1";" O3_nb_h1>120";" NO2";" NO";" PM10";" T";" Hr";" p";" WVs";" StrGlo";" RainDur";" SO2";" CO";" O3_max_h1";" O3_nb_h1>120";" NO2";" NO";" PM10";" O3_max_h1";" O3_nb_h1>120";" NO2";" NO";" O3_max_h1";" O3_nb_h1>120";" NO2";" NO";" PM10"
;" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1"
;" µg/m3";" mg/m3";" µg/m3";"1";" µg/m3";" µg/m3";" µg/m3";" °C";" %Hr";" hPa";" m/s";" W/m2";" min";" µg/m3";" mg/m3";" µg/m3";"1";" µg/m3";" µg/m3";" µg/m3";" µg/m3";"1";" µg/m3";" µg/m3";" µg/m3";"1";" ppb";" µg/m3";" µg/m3"
"01.01.2012";1.78;0.31;43.46;0;26.54;7.83;18.04;8.12;86.9;968.65;2.01;39.61;95.6;2.98;0.31;48.28;0;25.47;10.4;17.67;43.75;0;12.7;1.62;"NaN";"NaN";"NaN";"NaN";"NaN"
"02.01.2012";1.64;0.24;53.56;0;17.87;3.51;5.34;6.96;83.94;965.34;2.5;12.59;397.1;2.74;0.26;61.33;0;21.63;8.13;5.7;54.2;0;10.06;1.29;"NaN";"NaN";"NaN";"NaN";"NaN"
"03.01.2012";1.4;0.24;66.05;0;19.62;5.85;6.92;6.29;67.19;972.62;2.85;63.38;71.47;2.48;0.29;63.61;0;26.86;14.54;8.85;65.26;0;11.29;1.45;"NaN";"NaN";"NaN";"NaN";"NaN"
"04.01.2012";1.11;0.22;67.55;0;13.25;2.59;7.49;6.07;68.98;970.64;3.96;43.04;400.9;2.16;0.24;64.87;0;18.96;8.85;6.57;66.46;0;8.77;1.11;"NaN";"NaN";"NaN";"NaN";"NaN"
"05.01.2012";0.9;0.2;71.45;0;10.11;2.23;4.92;5.02;75.59;957.33;5.85;11.24;748.32;1.72;0.23;70.08;0;15.4;7.93;4.04;71.11;0;7.5;0.91;"NaN";"NaN";"NaN";"NaN";"NaN"
"06.01.2012";1.1;0.24;65.08;0;17.67;3.2;7.11;3;82.45;967.72;2.56;18.64;411.73;2.99;0.33;63.29;0;32.1;21.83;7.74;62.47;0;14.21;1.95;"NaN";"NaN";"NaN";"NaN";"NaN"
"07.01.2012";1.15;0.24;55.74;0;13.24;2.36;7.42;3.43;76.75;973.11;3.06;11.5;321.2;2.33;0.24;56.74;0;14.72;5.25;6.63;57.24;0;9.59;1.1;"NaN";"NaN";"NaN";"NaN";"NaN"
"08.01.2012";1.26;0.23;54.91;0;13.93;2.35;8.47;4.66;82.81;972.74;1.95;13.15;445.95;2.9;0.31;56.16;0;24.26;10.81;9.44;55.75;0;10.93;1.28;"NaN";"NaN";"NaN";"NaN";"NaN"
"09.01.2012";1.59;0.33;48.52;0;30.9;15.42;14.64;4.81;78.07;979.16;1.7;29.2;67.7;3.82;0.35;41.57;0;38.55;20.91;11.21;44.17;0;20.23;3.08;"NaN";"NaN";"NaN";"NaN";"NaN"
"10.01.2012";2.28;0.54;45.46;0;46.11;43.53;18.86;5.31;82.43;982.48;1.37;35.48;96.75;5.58;0.52;41.63;0;52.2;45.51;17.36;45.78;0;24.73;4.04;"NaN";"NaN";"NaN";"NaN";"NaN"
"11.01.2012";1.57;0.46;25.54;0;39.41;23.96;18.55;2.61;87.18;983.23;1.09;15.96;0;2.83;0.48;21.86;0;45.97;39.18;19.77;26.51;0;25.36;3.3;"NaN";"NaN";"NaN";"NaN";"NaN"
